sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches
sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C
10,SBBAB4,Japanese larch,Larix kaempferi,Y30,moderate,52.0134,5.4972,1.76,1.7,0.4,0.27,0.35,5.17,527,0.19,0.3,0.07,0.05,0.06,1.22,496,0.17,0.2,0.04,0.01,0.05,1.2,499,NA,NA,NA,NA,NA,NA,NA,4.51,2.9,1.06,0.57,0.45,6.08,503,0.53,0.3,0.16,0.03,0.08,1.63,507,2.49,2.2,0.57,0.45,0.33,5.19,521
11,QUADE1,Douglas fir ,Pseudotsuga menziesii,Y30,moderate,52.0007,5.7271,1.38,2.5,0.37,0.35,0.37,5.33,549,0.29,0.5,0.1,0.05,0.06,1.38,496,0.19,0.1,0.03,0.01,0.06,1.35,508,NA,NA,NA,NA,NA,NA,NA,3.34,4.2,0.93,0.63,0.76,8.73,536,0.49,0.4,0.2,0.04,0.08,1.71,507,2.02,1.6,0.57,0.25,0.21,3.41,513
12,QUADE2,Scots pine ,Pinus sylvestris,Y30,moderate,51.9974,5.7242,1.84,2,0.35,0.33,0.45,5.97,551,0.5,0.5,0.15,0.07,0.09,1.09,502,1.12,0.3,0.21,0.01,0.08,1.46,538,NA,NA,NA,NA,NA,NA,NA,2.84,3.1,0.81,0.77,0.54,8.61,505,0.66,0.9,0.24,0.09,0.11,1.98,504,1.05,2,0.34,0.37,0.39,4.8,515
13,TONGE1,Scots pine ,Pinus sylvestris,Hd23,moderate,52.3447,5.9037,3.37,0.8,0.4,0.13,0.34,4.54,543,0.5,0.3,0.12,0.04,0.08,0.63,502,0.85,0.3,0.16,0.01,0.06,1,531,NA,NA,NA,NA,NA,NA,NA,12.7,3,1.14,0.48,0.46,5.88,499,0.79,0.3,0.2,0.02,0.06,0.57,543,2.14,1.6,0.44,0.22,0.28,3.49,519
14,TONGE2,Norway spruce ,Picea abies,zEZ21,moderate,52.3468,5.9217,8.62,2.9,0.91,0.43,0.44,5.86,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.5,0.14,0.04,0.06,0.77,500,12.1,2.9,1.16,0.74,0.56,8.41,501,1.01,0.8,0.25,0.11,0.1,1.28,521,1.84,4.3,0.81,0.96,0.68,8.36,510
15,TONGE2,Douglas fir ,Pseudotsuga menziesii,zEZ21,moderate,52.3468,5.9217,0.99,0.5,0.15,0.15,0.24,2.8,576,0.33,0.4,0.07,0.06,0.07,0.59,498,0.18,0.1,0.02,0.01,0.06,0.69,512,NA,NA,NA,NA,NA,NA,NA,3.35,1.9,0.66,0.49,0.41,4.74,518,0.62,0.2,0.17,0.04,0.07,1,509,3.63,2.1,0.45,0.43,0.28,3.58,510
16,TONGE3,Japanese larch,Larix kaempferi,Zn21,poor,52.3455,5.9254,1.07,1.5,0.33,0.15,0.33,3.48,545,0.18,0.4,0.07,0.04,0.05,1.2,500,0.19,0.1,0.06,0.01,0.05,0.71,505,NA,NA,NA,NA,NA,NA,NA,2.86,2.7,0.86,0.4,0.37,4.78,516,0.55,0.3,0.19,0.02,0.06,1.32,509,1.52,1.9,0.46,0.33,0.25,4.1,513
17,TONGE3,Douglas fir ,Pseudotsuga menziesii,Zn21,poor,52.3455,5.9254,1.43,0.8,0.21,0.14,0.22,3.25,576,0.41,0.4,0.1,0.06,0.07,1.27,498,0.16,0,0.02,0.01,0.05,1.13,502,NA,NA,NA,NA,NA,NA,NA,5.18,2.1,0.83,0.36,0.33,4.59,510,0.76,0.2,0.2,0.03,0.07,1.66,512,3.67,2.2,0.46,0.33,0.3,4.01,510
18,TONGE4,Norway spruce ,Picea abies,Y23,rich,52.3623,5.9342,13.2,1.4,0.56,0.26,0.38,5.28,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,0.4,0.11,0.02,0.05,1.31,497,20.3,1.9,1.07,0.45,0.51,7.53,500,1.82,0.4,0.31,0.04,0.08,1.47,525,3.33,3,0.95,0.47,0.53,7.93,509
19,TONGE4,Scots pine ,Pinus sylvestris,Y23,rich,52.3623,5.9342,4.21,0.5,0.14,0.08,0.23,3.8,551,0.54,0.4,0.12,0.04,0.06,1,503,0.81,0.3,0.16,0.01,0.06,1.09,527,NA,NA,NA,NA,NA,NA,NA,9.13,3.2,0.85,0.52,0.5,7.27,508,0.96,0.4,0.26,0.04,0.08,1.35,516,1.88,1.7,0.45,0.26,0.37,4.47,515
