sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem bark,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem sapwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,stem heartwood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Stem wood,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Coarse branch wood without bark,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches,Fine branches
sample-ID,plot ID,Tree species,Sc. name,Dutch soil code,soil catagory,lat,long,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C,Ca,K,Mg,P,S,N,C
104,leersum4,Silver birch ,Betula pendula,cHn21,moderate,52.0384,5.4232,3.99,0.6,0.5,0.19,0.27,4.69,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.22,0.05,0.06,1.16,483,2.61,1.9,0.77,0.52,0.62,8.13,533,0.56,0.7,0.14,0.08,0.11,NA,NA,1.54,1.9,0.69,0.62,0.39,7.32,503
104,leersum4,Scots pine ,Pinus sylvestris,cHn21,moderate,52.0384,5.4232,8.06,0.2,0.08,0.05,0.18,3.91,562,2.99,1,0.76,0.39,0.17,3.58,493,1.11,0.3,0.23,0.01,0.06,1.42,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,mastbos1,Douglas fir ,Pseudotsuga menziesii,Hn21,poor,51.5479,4.7716,0.62,0.9,0.18,0.15,0.2,NA,NA,0.21,0.4,0.08,0.05,0.07,0.83,493,0.07,0,0.01,0.01,0.03,0.74,501,NA,NA,NA,NA,NA,NA,NA,4.49,1.7,0.91,0.26,0.32,4.32,511,0.52,0.2,0.14,0.03,0.08,1.09,521,3.63,1.6,0.61,0.23,0.3,3.55,505
105,mastbos1,Scots pine ,Pinus sylvestris,Hn21,poor,51.5479,4.7716,1.38,0.6,0.11,0.05,0.18,4.2,546,0.45,0.5,0.09,0.05,0.07,,0,0.56,0.2,0.1,0.01,0.1,0.7,535,NA,NA,NA,NA,NA,NA,NA,5.96,2.9,1.03,0.41,0.53,7.71,509,1.1,0.9,0.36,0.11,0.16,2.79,508,2.44,1.9,0.66,0.27,0.39,5.8,509
105,mastbos1,Silver birch ,Betula pendula,Hn21,poor,51.5479,4.7716,1.84,0.6,0.35,0.08,0.13,3.95,526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.5,0.22,0.04,0.06,1.71,483,3.94,1.4,0.64,0.22,0.36,5.87,524,0.68,0.8,0.37,0.09,0.1,2.73,487,2.35,1.8,0.7,0.33,0.5,7.88,500
105,mastbos1,Common oak ,Quercus robur,Hn21,poor,51.5479,4.7716,11.5,1.4,0.88,0.14,0.56,8.78,506,0.59,1.2,0.12,0.07,0.18,,0,0.43,0.4,0.03,0.02,0.13,2.52,491,NA,NA,NA,NA,NA,NA,NA,6.44,1,0.86,0.24,0.84,11.3,512,0.56,0.6,0.16,0.03,0.14,2.12,476,2.7,1.2,0.55,0.21,0.66,9,494
106,mastbos2,Scots pine ,Pinus sylvestris,cHn21,moderate,51.5483,4.7727,2.21,0.4,0.14,0.08,0.23,NA,NA,0.41,0.5,0.09,0.07,0.11,1.91,496,0.75,0.4,0.14,0.02,0.05,,0,NA,NA,NA,NA,NA,NA,NA,12.1,2.4,0.85,0.49,0.49,6.78,501,0.99,0.5,0.23,0.04,0.09,1.77,511,2.19,1.7,0.41,0.3,0.41,5.67,518
106,mastbos2,Common oak ,Quercus robur,cHn21,moderate,51.5483,4.7727,8.44,0.8,0.46,0.1,0.52,6.04,511,0.33,1.3,0.22,0.11,0.2,3.58,484,0.25,0.2,0.02,0.02,0.13,3,494,NA,NA,NA,NA,NA,NA,NA,3.41,2.1,0.97,0.35,0.85,9.91,509,1.06,1.6,0.31,0.18,0.42,6.83,487,1.88,1.8,0.67,0.25,0.71,10,498
106,mastbos2,Silver birch ,Betula pendula,cHn21,moderate,51.5483,4.7727,2.78,0.4,0.25,0.09,0.19,4.15,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.6,0.18,0.08,0.08,2.07,489,4.7,2.3,0.83,0.31,0.56,7.53,517,0.69,0.7,0.29,0.09,0.11,3.11,484,3.54,1.9,0.75,0.41,0.54,8.77,499
107,mastbos3,Douglas fir ,Pseudotsuga menziesii,Hn21,poor,51.5415,4.7622,1.26,1,0.2,0.15,0.2,3.17,543,0.23,0.4,0.08,0.05,0.05,1.78,497,0.05,0,0,0.01,0.04,1.67,500,NA,NA,NA,NA,NA,NA,NA,3.91,0.9,0.64,0.22,0.4,5.45,539,0.6,0.5,0.2,0.07,0.11,1.68,497,2.49,1.7,0.64,0.31,0.35,5.34,514
107,mastbos3,Scots pine ,Pinus sylvestris,Hn21,poor,51.5415,4.7622,1.62,0.5,0.1,0.05,0.22,NA,NA,0.48,0.4,0.1,0.05,0.1,1.35,495,0.72,0.3,0.14,0.01,0.07,1.94,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,mastbos4,Scots pine ,Pinus sylvestris,Hn21,poor,51.536,4.762,4.05,0.6,0.17,0.1,0.24,NA,NA,0.33,0.6,0.11,0.09,0.12,1.17,501,0.59,0.3,0.2,0.02,0.06,0.01,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,mastbos4,Silver birch ,Betula pendula,Hn21,poor,51.536,4.762,1.62,0.4,0.22,0.12,0.3,4.77,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.5,0.19,0.06,0.08,1.11,486,4.39,2.2,0.67,0.49,0.36,6.01,526,1.19,0.8,0.29,0.17,0.14,2.55,486,2,1.5,0.55,0.35,0.34,6.23,497
109,mastbos5,Japanese larch,Larix kaempferi,Hn21,poor,51.5466,4.773,2.37,1.2,0.44,0.2,0.26,NA,NA,0.35,0.5,0.11,0.09,0.09,,0,0.1,0.1,0.03,0.01,0.03,0.35,499,NA,NA,NA,NA,NA,NA,NA,4.8,2.6,1.15,0.55,0.85,7.82,515,1.16,0.6,0.39,0.03,0.08,NA,NA,3.14,2.6,0.87,0.55,0.56,7.5,508
110,mastbos6,Scots pine ,Pinus sylvestris,zWp,poor,51.5519,4.7546,2.38,0.8,0.14,0.11,0.24,NA,NA,0.46,0.3,0.1,0.04,0.07,0.84,498,0.9,0.2,0.17,0.01,0.05,1.5,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,mastbos6,Silver birch ,Betula pendula,zWp,poor,51.5519,4.7546,2.92,1,0.42,0.19,0.26,4.14,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.6,0.22,0.07,0.08,2.13,487,5.53,1.9,0.46,0.28,0.27,5.46,522,0.8,0.9,0.23,0.11,0.1,2.04,486,3.64,1.8,0.52,0.42,0.5,7.44,498
111,ruinen1,Norway spruce ,Picea abies,Hn21,poor,52.7447,6.4175,13.5,1.7,0.93,0.24,0.48,6.27,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.5,0.17,0.05,0.05,1.58,495,15,2.1,0.99,0.56,0.91,11.3,503,3.99,1,0.45,0.18,0.18,3.37,497,5.04,1.3,0.64,0.37,0.39,5.92,503
112,ruinen2,Japanese larch,Larix kaempferi,Hn21,poor,52.7449,6.4173,1.33,0.7,0.31,0.1,0.4,4.18,525,0.37,0.4,0.13,0.06,0.09,1.82,490,0.28,1,0.13,0.09,0.13,1.69,493,NA,NA,NA,NA,NA,NA,NA,2.76,4.2,1.06,0.7,0.73,9.51,518,0.77,1.4,0.28,0.24,0.21,3.36,495,2.23,2.2,0.74,0.51,0.46,6.43,507
112,ruinen2,Norway spruce ,Picea abies,Hn21,poor,52.7449,6.4173,6.88,2,0.86,0.25,0.35,5.61,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.5,0.12,0.04,0.05,1.52,493,16.3,2.3,0.89,0.5,0.72,9.42,500,1.23,0.6,0.16,0.08,0.1,2.02,514,4.52,1.6,0.54,0.37,0.44,5.28,505
113,ruinen3,Common oak ,Quercus robur,Hn21,poor,52.7144,6.3673,14.1,1.6,1.33,0.22,0.53,7.29,506,0.36,1.1,0.16,0.14,0.15,2.16,484,0.34,0.4,0.04,0.01,0.11,2.12,487,NA,NA,NA,NA,NA,NA,NA,6.85,2.9,1.89,0.76,0.98,12.9,507,2.44,1.9,0.65,0.64,0.34,6.78,481,2.08,1.8,0.99,0.66,0.48,7.76,492
113,ruinen3,Japanese larch,Larix kaempferi,Hn21,poor,52.7144,6.3673,1.77,1.1,0.45,0.3,0.5,5.81,526,0.43,0.5,0.1,0.11,0.13,1.88,492,0.14,0.1,0.03,0.01,0.05,1.82,495,NA,NA,NA,NA,NA,NA,NA,3.46,2.9,1.21,0.64,0.54,7.66,504,1.22,0.9,0.27,0.19,0.18,2.96,498,2.62,2.2,0.66,0.51,0.38,5.81,505
114,hardenberg1,Common oak ,Quercus robur,Zd21,poor,52.5595,6.5741,25.6,1.3,0.66,0.2,0.57,7.49,488,0.77,1.1,0.1,0.09,0.16,1.77,489,0.38,0.3,0.02,0.02,0.11,1.3,498,NA,NA,NA,NA,NA,NA,NA,27,2.7,0.81,0.51,0.87,10.8,485,0.95,1.5,0.27,0.11,0.18,2.09,479,7.1,1.8,0.39,0.3,0.5,6.69,488
114,hardenberg1,Japanese larch,Larix kaempferi,Zd21,poor,52.5595,6.5741,2.18,1.4,0.31,0.18,0.3,3.59,527,0.54,0.4,0.11,0.07,0.1,1.09,492,0.11,0.1,0.02,0.01,0.04,1.14,496,NA,NA,NA,NA,NA,NA,NA,4.35,2.4,0.86,0.45,0.52,6.75,510,3.34,0.6,0.16,0.14,0.16,2.15,516,3.44,2.1,0.8,0.45,0.48,6.25,505
115,hardenberg2,Common oak ,Quercus robur,Zn21,poor,52.546,6.5556,8.52,1.7,0.67,0.23,0.5,7,476,0.52,1.3,0.16,0.12,0.18,2.8,483,0.25,0.2,0.02,0.01,0.09,1.83,489,NA,NA,NA,NA,NA,NA,NA,5.74,2.5,0.89,0.5,0.76,11.3,511,0.97,1.5,0.28,0.31,0.4,6.68,482,2.6,2,0.64,0.58,0.65,10.3,490
116,hardenberg3,Beech ,Fagus sylvatica,Zn21,poor,52.5459,6.5543,11.6,1.7,0.86,0.5,0.48,8.91,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.7,0.2,0.08,0.1,1.86,486,4.88,1.5,0.63,0.42,0.48,7.92,507,0.98,0.6,0.3,0.24,0.13,3.14,477,1.8,1.3,0.46,0.67,0.39,7.66,492
116,hardenberg3,Norway spruce ,Picea abies,Zn21,poor,52.5459,6.5543,6.15,2,0.83,0.47,0.33,5.26,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.5,0.12,0.06,0.06,1.99,496,9.55,1.9,1.01,0.68,0.59,8.58,492,1.14,0.5,0.21,0.13,0.1,1.99,496,3.69,1.3,0.53,0.44,0.47,6.31,497
117,hardenberg4,Douglas fir ,Pseudotsuga menziesii,Zn21,poor,52.5367,6.5567,2.2,0.6,0.24,0.13,0.27,3.46,532,0.36,0.4,0.1,0.05,0.07,1.43,492,0.07,0,0,0.01,0.04,1.16,499,NA,NA,NA,NA,NA,NA,NA,5.51,2.3,0.97,0.45,0.63,7.42,506,0.76,0.8,0.26,0.11,0.12,2.28,500,3.47,2,0.76,0.36,0.47,5.62,509
117,hardenberg4,Common oak ,Quercus robur,Zn21,poor,52.5367,6.5567,8.89,1.2,0.89,0.23,0.64,9.23,506,0.87,1.5,0.23,0.08,0.11,2.34,470,0.4,0.5,0.06,0.02,0.09,1.91,478,NA,NA,NA,NA,NA,NA,NA,6.04,2.3,1.21,0.37,0.75,9.06,494,0.49,1.2,0.23,0.08,0.13,2.25,481,2.69,1.9,0.69,0.37,0.48,7.17,490
118,hardenberg5,Scots pine ,Pinus sylvestris,Zn21,poor,52.5292,6.5377,2.14,0.5,0.15,0.08,0.3,4.38,539,0.45,0.5,0.13,0.06,0.08,1.75,496,0.68,0.3,0.21,0.03,0.05,0.98,504,NA,NA,NA,NA,NA,NA,NA,4.65,2,0.44,0.32,0.34,5.19,515,1.22,0.2,0.2,0.01,0.06,1.71,531,2.1,1.9,0.48,0.32,0.38,5.7,511
118,hardenberg5,Silver birch ,Betula pendula,Zn21,poor,52.5292,6.5377,1.8,0.3,0.25,0.21,0.6,9.03,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.6,0.23,0.07,0.07,2.19,485,3.56,1.5,0.54,0.32,0.53,7.43,537,0.72,0.6,0.25,0.12,0.11,2.74,483,2.32,1.5,0.49,0.47,0.42,7.4,501
201,Gieten1,Norway spruce ,Picea abies,zWp,poor,52.9581,6.7326,7.83,2.8,1.35,0.51,0.39,5.13,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.5,0.14,0.03,0.05,1.06,499,6.97,3.4,1.22,0.58,0.61,7.31,508,0.89,0.6,0.26,0.06,0.09,1.7,506,3,2.2,0.84,0.55,0.5,6.57,508
202,Gieten2,Japanese larch,Larix kaempferi,Hn21,poor,52.9582,6.734,1.31,1.3,0.34,0.19,0.3,3.77,525,0.6,0.6,0.14,0.07,0.09,1.14,496,0.15,0.1,0.04,0.01,0.04,0.88,501,NA,NA,NA,NA,NA,NA,NA,2.88,2.3,0.64,0.34,0.4,4.83,535,0.33,0.3,0.1,0.02,0.06,0.97,503,2.39,2.4,0.66,0.59,0.6,8.81,510
203,Gieten3,Norway spruce ,Picea abies,Hn21,poor,52.9615,6.7321,6.83,2.8,1.19,0.53,0.49,5.52,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.4,0.14,0.04,0.06,1.34,499,9.22,2.8,0.96,0.52,0.48,6.69,509,0.83,0.6,0.19,0.04,0.06,1.24,507,3.33,1.9,0.67,0.54,0.48,5.59,507
204,Gieten4,Japanese larch,Larix kaempferi,Hn21,poor,52.9614,6.7327,1.32,1.3,0.4,0.24,0.26,3.86,535,0.47,0.4,0.18,0.09,0.1,1.68,493,0.07,0.1,0.02,0.01,0.04,1.18,497,NA,NA,NA,NA,NA,NA,NA,3.48,2.8,0.93,0.54,0.61,7.71,529,0.4,0.4,0.14,0.07,0.08,1.36,503,2.35,2.3,0.86,0.65,0.6,8.85,512
205,Gieten5,Silver birch ,Betula pendula,Hn21,poor,52.9611,6.7335,3.21,0.8,0.41,0.2,0.43,7.7,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.7,0.25,0.06,0.09,1.82,485,5.87,2.2,0.8,0.5,0.51,8.12,534,0.72,0.9,0.38,0.21,0.2,3.56,489,3.06,1.7,0.73,0.45,0.45,7.15,503
206,Gieten6,Japanese larch,Larix kaempferi,Hd21,poor,52.9621,6.739,2.3,2.4,0.65,0.29,0.32,5.35,521,0.41,0.5,0.1,0.06,0.08,1.53,493,0.1,0.1,0.03,0.01,0.04,0.91,490,NA,NA,NA,NA,NA,NA,NA,4.44,3.3,1.27,0.54,0.55,7.11,519,0.59,0.5,0.14,0.06,0.08,1.69,504,3.25,2.7,0.77,0.52,0.49,6.7,511
206,Gieten6,Common oak ,Quercus robur,Hd21,poor,52.9621,6.739,11.6,2.2,0.91,0.3,0.52,8.34,499,0.8,1.5,0.21,0.14,0.16,2.58,478,0.29,0.4,0.03,0.02,0.09,1.61,479,NA,NA,NA,NA,NA,NA,NA,7.88,4.6,1.28,0.61,0.78,11.8,489,0.78,1.3,0.27,0.1,0.16,2.61,478,2.87,2,0.7,0.45,0.52,8.25,493
207,Gieten7,Common oak ,Quercus robur,Hn23x,moderate,52.9622,6.7372,17,1.5,0.66,0.25,0.45,7.15,497,0.47,1.7,0.16,0.14,0.15,2.4,484,0.22,0.7,0.02,0.02,0.1,2.08,488,NA,NA,NA,NA,NA,NA,NA,17.5,3.9,1.08,0.45,0.8,9.46,491,1.41,1.5,0.39,0.14,0.19,2.65,476,5.55,2.5,0.75,0.47,0.5,7.89,485
208,Gieten8,Silver birch ,Betula pendula,Hn23x,moderate,52.9592,6.7425,4.48,0.6,0.36,0.2,0.31,5.3,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.5,0.25,0.11,0.1,2.13,480,8.31,2.1,0.67,0.57,0.57,8.16,514,2.04,0.8,0.62,0.18,0.12,2.35,483,3.3,1.7,0.62,0.86,0.49,7.82,503
301,Leende1,Scots pine ,Pinus sylvestris,Zd21,poor,51.3294,5.5268,1.43,0.6,0.1,0.15,0.21,3.68,546,0.52,0.5,0.14,0.06,0.08,1.31,490,0.98,0.2,0.19,0.01,0.05,0.96,531,NA,NA,NA,NA,NA,NA,NA,7.71,2.6,1.18,0.72,0.62,7.16,509,0.88,0.5,0.29,0.08,0.1,1.88,513,2.05,1.8,0.55,0.41,0.36,5.34,512
302,Leende2,Common oak ,Quercus robur,Zd21,poor,51.3305,5.5245,7.67,1.6,0.61,0.26,0.47,6.13,513,0.65,1.6,0.21,0.26,0.19,2.85,486,0.29,0.3,0.02,0.02,0.13,1.96,493,NA,NA,NA,NA,NA,NA,NA,6.13,2.4,0.78,0.55,0.81,9.58,498,0.43,1.3,0.18,0.28,0.21,3.58,482,2.61,1.9,0.7,0.59,0.53,8.02,493
303,Leende3,Scots pine ,Pinus sylvestris,Zd21,poor,51.3307,5.5233,2.21,0.6,0.18,0.21,0.3,4.13,553,0.49,0.6,0.13,0.07,0.07,1.46,506,0.9,0.2,0.16,0.01,0.06,1.62,552,NA,NA,NA,NA,NA,NA,NA,10.7,3.3,1.07,0.73,0.58,7.17,489,1.01,0.4,0.3,0.04,0.08,1.88,515,2.43,1.6,0.53,0.32,0.31,4.55,509
303,Leende3,Silver birch ,Betula pendula,Zd21,poor,51.3307,5.5233,2.37,1.1,0.45,0.26,0.33,6.32,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.5,0.24,0.08,0.09,1.78,485,4.39,1.8,0.67,0.38,0.37,6.58,524,1.09,0.9,0.34,0.17,0.14,3.21,487,2.01,1.7,0.63,0.51,0.37,6.81,501
304,Leende4,Japanese larch,Larix kaempferi,Hn21,poor,51.3251,5.5165,1.38,2.2,0.4,0.39,0.34,5.37,525,0.34,0.4,0.11,0.12,0.16,2.29,497,0.19,0.1,0.03,0.01,0.04,1.26,497,NA,NA,NA,NA,NA,NA,NA,3.91,2.5,0.67,0.6,0.61,8.85,519,0.86,0.5,0.21,0.09,0.14,2.11,510,2.5,1.9,0.54,0.54,0.66,8.81,514
305,Leende5,Norway spruce ,Picea abies,Hn21,poor,51.3257,5.5145,5.81,3,0.89,0.54,0.46,6.23,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.5,0.17,0.04,0.06,1.31,499,5.82,2.6,0.92,0.65,0.52,7.84,508,0.72,0.6,0.25,0.12,0.11,2.31,496,2.76,2.6,0.72,0.63,0.6,8.29,505
306,Leende6,Japanese larch,Larix kaempferi,Hn21,poor,51.3252,5.5141,1.97,2.5,0.51,0.4,0.59,5.5,522,0.55,0.7,0.16,0.15,0.14,2.11,488,0.16,0.2,0.03,0.01,0.05,1.4,495,NA,NA,NA,NA,NA,NA,NA,3.72,3.5,0.72,0.68,0.75,9.61,516,0.77,0.7,0.19,0.18,0.19,3,501,2.9,1.9,0.55,0.42,0.48,6.64,515
307,Leende7,Silver birch ,Betula pendula,Hd21,poor,51.3251,5.513,3.43,0.8,0.35,0.16,0.31,4.91,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.6,0.29,0.07,0.09,1.48,486,5.63,2,0.76,0.35,0.57,7.11,520,1.57,0.9,0.4,0.12,0.12,2.5,490,4.45,1.9,0.75,0.52,0.58,7.68,506
308,Leende8,Common oak ,Quercus robur,Zd21,poor,51.3246,5.5199,13.9,1.9,0.76,0.19,0.5,6.36,507,0.58,1.2,0.16,0.2,0.13,2.63,484,0.42,0.4,0.03,0.02,0.11,1.88,493,NA,NA,NA,NA,NA,NA,NA,6.91,2.4,1.23,0.5,0.72,9.15,504,0.89,1,0.31,0.14,0.13,2.53,473,3.1,1.6,0.81,0.48,0.54,8.13,496
